Data Venda;Canal de Venda;Local de Venda;PAX;Monetário Vendido;RPK;Preço Jet Fuel;Taxa de Desemprego Brasil
06/11/2016;TeleVenda;Arena;2290;95390,18;331083;1,36;9.5
06/11/2016;Porta a Porta;Mindscape;856;32680,6;96071;1,36;9.5
06/11/2016;Porta a Porta;Ellipsis;699;22611,63;38550;1,36;9.5
06/11/2016;TeleVenda;Mindscape;1515;61535,42;182888;1,36;9.5
06/11/2016;TeleVenda;Ellipsis;1401;44342,98;76503;1,36;9.5
06/11/2016;TeleVenda;Vast;2179;58268,05;102935;1,36;9.5
06/11/2016;Porta a Porta;Vast;1544;32765,6;71257;1,36;9.5
06/11/2016;Telégrafo;Arena;147;8161,74;20813;1,36;9.5
06/11/2016;Telégrafo;Mindscape;76;4509,8;9915;1,36;9.5
06/11/2016;Telégrafo;Ellipsis;41;2275,63;2279;1,36;9.5
07/11/2016;Porta a Porta;Ellipsis;789;18990,19;40435;1,36;9.5
07/11/2016;Telégrafo;Ellipsis;45;2362,89;2497;1,36;9.5
07/11/2016;TeleVenda;Mindscape;1089;29280,85;126746;1,36;9.5
07/11/2016;TeleVenda;Ellipsis;98;6563,82;5989;1,36;9.5
07/11/2016;TeleVenda;Ellipsis;922;18649,58;50304;1,36;9.5
07/11/2016;TeleVenda;Arena;1575;53439,33;223780;1,36;9.5
07/11/2016;TeleVenda;Vast;123;7356,47;5534;1,36;9.5
07/11/2016;Telégrafo;Arena;111;6065,22;16174;1,36;9.5
07/11/2016;TeleVenda;Arena;127;9039,85;19729;1,36;9.5
07/11/2016;TeleVenda;Vast;1559;24081,23;69526;1,36;9.5
07/11/2016;Porta a Porta;Mindscape;985;29328,05;105345;1,36;9.5
07/11/2016;Porta a Porta;Vast;1909;29333,07;81306;1,36;9.5
07/11/2016;Telégrafo;Vast;77;2983,03;3480;1,36;9.5
07/11/2016;Telégrafo;Mindscape;71;4813,18;9316;1,36;9.5
07/11/2016;Porta a Porta;Arena;1084;42420,19;144695;1,36;9.5
07/11/2016;TeleVenda;Mindscape;55;3426,45;6527;1,36;9.5
08/11/2016;TeleVenda;Arena;116;8553,28;18264;1,36;9.5
08/11/2016;Porta a Porta;Arena;887;38652,4;119256;1,36;9.5
08/11/2016;Telégrafo;Vast;82;3999,99;3261;1,36;9.5
08/11/2016;Telégrafo;Mindscape;53;4153,55;6129;1,36;9.5
08/11/2016;TeleVenda;Ellipsis;78;4488,51;4756;1,36;9.5
08/11/2016;Porta a Porta;Ellipsis;950;21667,45;48504;1,36;9.5
08/11/2016;Telégrafo;Ellipsis;38;2770,9;2160;1,36;9.5
08/11/2016;Telégrafo;Arena;64;4243,91;9350;1,36;9.5
08/11/2016;TeleVenda;Vast;1434;22231,83;62666;1,36;9.5
08/11/2016;Porta a Porta;Mindscape;1118;31953,3;113157;1,36;9.5
08/11/2016;TeleVenda;Mindscape;45;2433,65;5716;1,36;9.5
08/11/2016;TeleVenda;Ellipsis;935;18316,17;50592;1,36;9.5
08/11/2016;TeleVenda;Vast;108;6365,22;4713;1,36;9.5
08/11/2016;Porta a Porta;Vast;1962;30148,74;82711;1,36;9.5
08/11/2016;TeleVenda;Arena;1047;35798,39;150298;1,36;9.5
08/11/2016;TeleVenda;Mindscape;959;23904,56;105206;1,36;9.5
09/11/2016;TeleVenda;Ellipsis;253;17132,76;15026;1,36;9.5
09/11/2016;TeleVenda;Arena;2360;97762,36;341223;1,36;9.5
09/11/2016;Telégrafo;Mindscape;86;6229,68;11035;1,36;9.5
09/11/2016;Telégrafo;Arena;160;9530,37;23887;1,36;9.5
09/11/2016;Porta a Porta;Arena;1342;64295,62;182970;1,36;9.5
09/11/2016;TeleVenda;Vast;2065;58459,13;96792;1,36;9.5
09/11/2016;Telégrafo;Vast;80;5029,36;3608;1,36;9.5
09/11/2016;TeleVenda;Arena;232;17080,01;36306;1,36;9.5
09/11/2016;Porta a Porta;Vast;1705;35602,08;76454;1,36;9.5
09/11/2016;Porta a Porta;Ellipsis;965;29259,19;52417;1,36;9.5
09/11/2016;Porta a Porta;Mindscape;1129;39473,14;121548;1,36;9.5
09/11/2016;Telégrafo;Ellipsis;58;3338,97;3277;1,36;9.5
09/11/2016;TeleVenda;Ellipsis;1455;43312,64;79195;1,36;9.5
09/11/2016;TeleVenda;Mindscape;1578;58909,83;185345;1,36;9.5
09/11/2016;TeleVenda;Mindscape;121;8672,94;14045;1,36;9.5
09/11/2016;TeleVenda;Vast;282;18923,29;13614;1,36;9.5
10/11/2016;TeleVenda;Ellipsis;1461;45530,98;81241;1,36;9.5
10/11/2016;TeleVenda;Arena;232;17700,73;36697;1,36;9.5
10/11/2016;Telégrafo;Mindscape;86;6299,63;10641;1,36;9.5
10/11/2016;Porta a Porta;Vast;1350;32550,35;64496;1,36;9.5
10/11/2016;TeleVenda;Arena;2338;95902,89;336268;1,36;9.5
10/11/2016;Porta a Porta;Mindscape;902;35025,66;100470;1,36;9.5
10/11/2016;TeleVenda;Mindscape;124;8177,83;15080;1,36;9.5
10/11/2016;TeleVenda;Mindscape;1532;60222,3;183632;1,36;9.5
10/11/2016;Porta a Porta;Arena;1216;60306,42;167000;1,36;9.5
10/11/2016;Telégrafo;Arena;158;9463,63;22413;1,36;9.5
10/11/2016;TeleVenda;Vast;2102;61561,53;100813;1,36;9.5
10/11/2016;Porta a Porta;Ellipsis;825;26496,27;44790;1,36;9.5
10/11/2016;Telégrafo;Vast;76;4410,61;3442;1,36;9.5
10/11/2016;TeleVenda;Ellipsis;249;16759,85;15273;1,36;9.5
10/11/2016;TeleVenda;Vast;308;20399,13;14875;1,36;9.5
10/11/2016;Telégrafo;Ellipsis;60;3440,22;3376;1,36;9.5
11/11/2016;TeleVenda;Mindscape;128;8144,11;15039;1,36;9.5
11/11/2016;TeleVenda;Vast;312;20493,03;15216;1,36;9.5
11/11/2016;TeleVenda;Ellipsis;1558;48157,46;83891;1,36;9.5
11/11/2016;TeleVenda;Arena;2441;101658,4;359217;1,36;9.5
11/11/2016;Porta a Porta;Arena;1268;61866,89;177659;1,36;9.5
11/11/2016;Telégrafo;Mindscape;69;5562,78;8670;1,36;9.5
11/11/2016;Telégrafo;Arena;136;8697,78;19344;1,36;9.5
11/11/2016;Porta a Porta;Ellipsis;855;26170,84;45167;1,36;9.5
11/11/2016;Porta a Porta;Vast;1428;35388,45;67349;1,36;9.5
11/11/2016;TeleVenda;Mindscape;1612;60747,87;191879;1,36;9.5
11/11/2016;TeleVenda;Ellipsis;265;16231,6;15308;1,36;9.5
11/11/2016;TeleVenda;Vast;2100;63299,93;101117;1,36;9.5
11/11/2016;Telégrafo;Ellipsis;71;5711,63;4089;1,36;9.5
11/11/2016;Telégrafo;Vast;72;3668,79;3526;1,36;9.5
11/11/2016;Porta a Porta;Mindscape;953;36067,77;109468;1,36;9.5
11/11/2016;TeleVenda;Arena;278;21455,08;44593;1,36;9.5
12/11/2016;TeleVenda;Mindscape;1606;60705,18;189865;1,36;9.5
12/11/2016;Telégrafo;Mindscape;73;7253,65;10161;1,36;9.5
12/11/2016;TeleVenda;Arena;256;19874,52;39827;1,36;9.5
12/11/2016;TeleVenda;Vast;1984;58856,03;93346;1,36;9.5
12/11/2016;Porta a Porta;Vast;1171;29927,49;54801;1,36;9.5
12/11/2016;Porta a Porta;Arena;1138;56961,83;160168;1,36;9.5
12/11/2016;TeleVenda;Arena;2172;91224,12;323533;1,36;9.5
12/11/2016;TeleVenda;Mindscape;99;6727,71;12270;1,36;9.5
12/11/2016;TeleVenda;Ellipsis;1567;46522,97;86302;1,36;9.5
12/11/2016;Telégrafo;Ellipsis;56;3469,97;3249;1,36;9.5
12/11/2016;Porta a Porta;Ellipsis;868;26484,68;46136;1,36;9.5
12/11/2016;Porta a Porta;Mindscape;950;34612,75;105103;1,36;9.5
12/11/2016;TeleVenda;Vast;298;19448,3;14679;1,36;9.5
12/11/2016;TeleVenda;Ellipsis;241;16723,82;15109;1,36;9.5
12/11/2016;Telégrafo;Vast;65;3042,85;3035;1,36;9.5
12/11/2016;Telégrafo;Arena;113;6197,04;16188;1,36;9.5
13/11/2016;Telégrafo;Ellipsis;54;3924,75;3498;1,36;9.5
13/11/2016;TeleVenda;Mindscape;1653;64793,51;206361;1,36;9.5
13/11/2016;Porta a Porta;Vast;1347;30538,21;63529;1,36;9.5
13/11/2016;Porta a Porta;Arena;1509;66077,63;223480;1,36;9.5
13/11/2016;TeleVenda;Mindscape;110;7931,77;14475;1,36;9.5
13/11/2016;TeleVenda;Arena;2478;100016,04;371331;1,36;9.5
13/11/2016;Telégrafo;Vast;49;1984,84;2328;1,36;9.5
13/11/2016;TeleVenda;Vast;299;20202,74;14597;1,36;9.5
13/11/2016;TeleVenda;Ellipsis;1555;47833,53;86378;1,36;9.5
13/11/2016;TeleVenda;Ellipsis;214;13826,94;12752;1,36;9.5
13/11/2016;Telégrafo;Arena;136;8609,24;20272;1,36;9.5
13/11/2016;Porta a Porta;Ellipsis;888;26417,38;49348;1,36;9.5
13/11/2016;TeleVenda;Arena;227;16827,48;34505;1,36;9.5
13/11/2016;Porta a Porta;Mindscape;1130;38127,72;139101;1,36;9.5
13/11/2016;TeleVenda;Vast;2008;61764,23;96652;1,36;9.5
13/11/2016;Telégrafo;Mindscape;55;3347,45;7531;1,36;9.5
14/11/2016;TeleVenda;Mindscape;60;3871,14;7664;1,36;9.5
14/11/2016;TeleVenda;Ellipsis;102;6172,88;6192;1,36;9.5
14/11/2016;Telégrafo;Vast;76;1805,59;3694;1,36;9.5
14/11/2016;Porta a Porta;Arena;4505;144890,73;668991;1,36;9.5
14/11/2016;TeleVenda;Vast;2112;31691,01;103877;1,36;9.5
14/11/2016;Porta a Porta;Vast;3186;48086,04;155810;1,36;9.5
14/11/2016;Telégrafo;Mindscape;89;3210,4;11895;1,36;9.5
14/11/2016;TeleVenda;Vast;117;6165,5;5501;1,36;9.5
14/11/2016;TeleVenda;Arena;3659;107719,14;548968;1,36;9.5
14/11/2016;Telégrafo;Arena;209;9267,3;33075;1,36;9.5
14/11/2016;TeleVenda;Mindscape;2702;61402,7;350317;1,36;9.5
14/11/2016;Porta a Porta;Mindscape;3961;94836,67;518526;1,36;9.5
14/11/2016;TeleVenda;Ellipsis;1586;29257,42;96889;1,36;9.5
14/11/2016;Porta a Porta;Ellipsis;2012;41089,21;120736;1,36;9.5
14/11/2016;TeleVenda;Arena;117;7909,88;18182;1,36;9.5
14/11/2016;Telégrafo;Ellipsis;58;2722,68;3416;1,36;9.5
15/11/2016;Porta a Porta;Vast;2828;43726;136985;1,36;9.5
15/11/2016;Porta a Porta;Arena;2741;92805,75;389144;1,36;9.5
15/11/2016;Telégrafo;Ellipsis;63;2322,85;3402;1,36;9.5
15/11/2016;TeleVenda;Mindscape;1191;29432,03;147303;1,36;9.5
15/11/2016;Porta a Porta;Mindscape;2827;69098,47;346400;1,36;9.5
15/11/2016;TeleVenda;Arena;93;5566,43;14138;1,36;9.5
15/11/2016;Telégrafo;Vast;76;2036,61;3764;1,36;9.5
15/11/2016;Telégrafo;Arena;115;5290,17;17150;1,36;9.5
15/11/2016;Porta a Porta;Ellipsis;1815;38472,51;105458;1,36;9.5
15/11/2016;TeleVenda;Vast;1217;20039,63;58465;1,36;9.5
15/11/2016;Telégrafo;Mindscape;79;4338,61;10307;1,36;9.5
15/11/2016;TeleVenda;Arena;1468;49035,01;212796;1,36;9.5
15/11/2016;TeleVenda;Ellipsis;85;4341,83;5521;1,36;9.5
15/11/2016;TeleVenda;Ellipsis;863;18608,27;50668;1,36;9.5
15/11/2016;TeleVenda;Mindscape;43;2454,22;5657;1,36;9.5
15/11/2016;TeleVenda;Vast;93;5162,1;4249;1,36;9.5
16/11/2016;TeleVenda;Arena;210;15947,97;32273;1,36;9.5
16/11/2016;Porta a Porta;Mindscape;1676;51153,07;195315;1,36;9.5
16/11/2016;TeleVenda;Arena;2155;86479;315391;1,36;9.5
16/11/2016;TeleVenda;Mindscape;121;7732,98;14286;1,36;9.5
16/11/2016;TeleVenda;Ellipsis;247;15280,57;14949;1,36;9.5
16/11/2016;TeleVenda;Vast;2165;60960,4;100796;1,36;9.5
16/11/2016;Porta a Porta;Ellipsis;1365;36204,49;75782;1,36;9.5
16/11/2016;Porta a Porta;Arena;1553;66170,58;216804;1,36;9.5
16/11/2016;Telégrafo;Ellipsis;56;3195,13;3163;1,36;9.5
16/11/2016;TeleVenda;Mindscape;1740;63266,99;209956;1,36;9.5
16/11/2016;Porta a Porta;Vast;1942;41025,52;90318;1,36;9.5
16/11/2016;Telégrafo;Mindscape;78;5181,5;10875;1,36;9.5
16/11/2016;TeleVenda;Vast;283;19049,41;13886;1,36;9.5
16/11/2016;TeleVenda;Ellipsis;1689;50018,86;92711;1,36;9.5
16/11/2016;Telégrafo;Vast;68;2970,48;3245;1,36;9.5
16/11/2016;Telégrafo;Arena;123;7525,22;17618;1,36;9.5
17/11/2016;TeleVenda;Vast;306;19390,84;15126;1,36;9.5
17/11/2016;TeleVenda;Ellipsis;226;13867,32;14221;1,36;9.5
17/11/2016;TeleVenda;Ellipsis;1438;45903,64;78140;1,36;9.5
17/11/2016;TeleVenda;Arena;220;16152,64;33687;1,36;9.5
17/11/2016;TeleVenda;Mindscape;1355;56693,57;160088;1,36;9.5
17/11/2016;Telégrafo;Mindscape;74;6215,41;10014;1,36;9.5
17/11/2016;Porta a Porta;Ellipsis;788;25625,77;42426;1,36;9.5
17/11/2016;TeleVenda;Vast;1746;57130,7;80399;1,36;9.5
17/11/2016;Telégrafo;Vast;78;3510,9;3633;1,36;9.5
17/11/2016;Porta a Porta;Mindscape;823;32150,7;92382;1,36;9.5
17/11/2016;Porta a Porta;Vast;1075;28089,08;48798;1,36;9.5
17/11/2016;TeleVenda;Arena;1829;80150,64;268017;1,36;9.5
17/11/2016;Telégrafo;Ellipsis;49;3712,02;2671;1,36;9.5
17/11/2016;TeleVenda;Mindscape;122;8420,57;14612;1,36;9.5
17/11/2016;Telégrafo;Arena;114;9036,99;16153;1,36;9.5
17/11/2016;Porta a Porta;Arena;984;50751,5;137470;1,36;9.5
18/11/2016;TeleVenda;Arena;1770;78447,14;260440;1,36;9.5
18/11/2016;TeleVenda;Ellipsis;247;14083,81;15029;1,36;9.5
18/11/2016;TeleVenda;Mindscape;139;9139,1;16391;1,36;9.5
18/11/2016;Porta a Porta;Vast;979;25471,94;43189;1,36;9.5
18/11/2016;Telégrafo;Vast;59;3092,17;2865;1,36;9.5
18/11/2016;Telégrafo;Arena;90;6831,58;12166;1,36;9.5
18/11/2016;Telégrafo;Ellipsis;38;1940,02;2197;1,36;9.5
18/11/2016;TeleVenda;Vast;1716;55305,95;79380;1,36;9.5
18/11/2016;TeleVenda;Mindscape;1361;57860,7;161418;1,36;9.5
18/11/2016;Porta a Porta;Arena;963;49016,94;137251;1,36;9.5
18/11/2016;TeleVenda;Arena;220;16797,46;34601;1,36;9.5
18/11/2016;Porta a Porta;Mindscape;767;30559,27;85154;1,36;9.5
18/11/2016;TeleVenda;Ellipsis;1467;46503,25;81115;1,36;9.5
18/11/2016;TeleVenda;Vast;309;21820,2;14705;1,36;9.5
18/11/2016;Porta a Porta;Ellipsis;804;25086,68;43226;1,36;9.5
18/11/2016;Telégrafo;Mindscape;77;6861,64;9220;1,36;9.5
19/11/2016;Porta a Porta;Arena;918;45321,43;128854;1,36;9.5
19/11/2016;Telégrafo;Vast;56;3387,8;2649;1,36;9.5
19/11/2016;Porta a Porta;Ellipsis;849;26639,99;46102;1,36;9.5
19/11/2016;TeleVenda;Mindscape;110;7259,51;13542;1,36;9.5
19/11/2016;TeleVenda;Arena;1746;76719,08;258997;1,36;9.5
19/11/2016;TeleVenda;Mindscape;1439;59515,32;172453;1,36;9.5
19/11/2016;TeleVenda;Arena;204;15872,49;30712;1,36;9.5
19/11/2016;Telégrafo;Ellipsis;51;3578,72;3081;1,36;9.5
19/11/2016;Telégrafo;Arena;110;7708,6;15693;1,36;9.5
19/11/2016;Telégrafo;Mindscape;77;6913,06;9546;1,36;9.5
19/11/2016;TeleVenda;Vast;291;18025,51;14107;1,36;9.5
19/11/2016;Porta a Porta;Mindscape;757;29434,24;83513;1,36;9.5
19/11/2016;TeleVenda;Ellipsis;1472;46202,77;81161;1,36;9.5
19/11/2016;TeleVenda;Vast;1742;57035,69;81947;1,36;9.5
19/11/2016;TeleVenda;Ellipsis;225;12442,76;13786;1,36;9.5
19/11/2016;Porta a Porta;Vast;914;23763,22;42290;1,36;9.5
20/11/2016;Porta a Porta;Vast;915;25295,25;43519;1,36;9.5
20/11/2016;TeleVenda;Mindscape;101;6827,17;11538;1,36;9.5
20/11/2016;Telégrafo;Ellipsis;41;2750,75;2189;1,36;9.5
20/11/2016;TeleVenda;Arena;197;15001,1;29998;1,36;9.5
20/11/2016;TeleVenda;Vast;1636;53139,73;78861;1,36;9.5
20/11/2016;Porta a Porta;Mindscape;662;27434,39;75355;1,36;9.5
20/11/2016;TeleVenda;Mindscape;1286;57059,16;153890;1,36;9.5
20/11/2016;Porta a Porta;Arena;794;39823,59;111929;1,36;9.5
20/11/2016;TeleVenda;Arena;1611;70031,23;236914;1,36;9.5
20/11/2016;Telégrafo;Vast;52;2414,3;2366;1,36;9.5
20/11/2016;TeleVenda;Vast;281;18297,55;13651;1,36;9.5
20/11/2016;Telégrafo;Arena;86;5160,31;12348;1,36;9.5
20/11/2016;TeleVenda;Ellipsis;1282;40976,18;70555;1,36;9.5
20/11/2016;TeleVenda;Ellipsis;222;13595,55;13814;1,36;9.5
20/11/2016;Porta a Porta;Ellipsis;686;22111,31;37225;1,36;9.5
20/11/2016;Telégrafo;Mindscape;59;5074,28;7892;1,36;9.5
21/11/2016;Porta a Porta;Mindscape;508;19312;57282;1,36;9.5
21/11/2016;Porta a Porta;Arena;814;35329,38;110426;1,36;9.5
21/11/2016;TeleVenda;Ellipsis;114;7355,46;7293;1,36;9.5
21/11/2016;TeleVenda;Vast;949;18460,14;47163;1,36;9.5
21/11/2016;TeleVenda;Mindscape;54;3655,49;6299;1,36;9.5
21/11/2016;TeleVenda;Arena;1271;44612,72;184403;1,36;9.5
21/11/2016;Porta a Porta;Ellipsis;625;14960,52;34546;1,36;9.5
21/11/2016;Porta a Porta;Vast;862;18788,05;43193;1,36;9.5
21/11/2016;TeleVenda;Arena;92;6208,87;13542;1,36;9.5
21/11/2016;Telégrafo;Ellipsis;31;1555,87;1733;1,36;9.5
21/11/2016;TeleVenda;Mindscape;781;22999,84;93451;1,36;9.5
21/11/2016;Telégrafo;Vast;57;3113,06;2670;1,36;9.5
21/11/2016;TeleVenda;Vast;128;7375,81;5723;1,36;9.5
21/11/2016;Telégrafo;Mindscape;42;3790,68;5338;1,36;9.5
21/11/2016;TeleVenda;Ellipsis;805;17001,36;45286;1,36;9.5
21/11/2016;Telégrafo;Arena;105;8687,4;14255;1,36;9.5
22/11/2016;TeleVenda;Arena;985;33999,93;138740;1,36;9.5
22/11/2016;Porta a Porta;Arena;809;36595,73;109069;1,36;9.5
22/11/2016;Telégrafo;Mindscape;30;2664,03;3524;1,36;9.5
22/11/2016;TeleVenda;Mindscape;670;18628,63;77040;1,36;9.5
22/11/2016;Porta a Porta;Mindscape;583;20979,06;66230;1,36;9.5
22/11/2016;Telégrafo;Vast;49;1592,06;2292;1,36;9.5
22/11/2016;Porta a Porta;Ellipsis;782;18741,54;41849;1,36;9.5
22/11/2016;TeleVenda;Arena;86;5609,69;12654;1,36;9.5
22/11/2016;TeleVenda;Ellipsis;812;16334,13;44330;1,36;9.5
22/11/2016;TeleVenda;Vast;102;5673,46;4669;1,36;9.5
22/11/2016;Porta a Porta;Vast;996;21297,24;47469;1,36;9.5
22/11/2016;Telégrafo;Arena;55;4871,79;8299;1,36;9.5
22/11/2016;Telégrafo;Ellipsis;36;1919,11;2026;1,36;9.5
22/11/2016;TeleVenda;Mindscape;45;2446,06;6153;1,36;9.5
22/11/2016;TeleVenda;Vast;1002;19296,58;48136;1,36;9.5
22/11/2016;TeleVenda;Ellipsis;87;4388,25;5537;1,36;9.5
23/11/2016;Telégrafo;Arena;100;7150,49;14436;1,36;9.5
23/11/2016;TeleVenda;Vast;1925;61856,49;89343;1,36;9.5
23/11/2016;TeleVenda;Ellipsis;1469;45838,71;81247;1,36;9.5
23/11/2016;TeleVenda;Arena;1764;79480,98;258234;1,36;9.5
23/11/2016;Telégrafo;Ellipsis;52;3004,1;3114;1,36;9.5
23/11/2016;Porta a Porta;Arena;899;46582,46;125382;1,36;9.5
23/11/2016;Porta a Porta;Vast;1151;30377,22;53576;1,36;9.5
23/11/2016;TeleVenda;Vast;289;19586,82;14311;1,36;9.5
23/11/2016;TeleVenda;Ellipsis;250;15553,13;14935;1,36;9.5
23/11/2016;TeleVenda;Mindscape;1465;61274,92;172953;1,36;9.5
23/11/2016;Telégrafo;Mindscape;67;5520,5;7975;1,36;9.5
23/11/2016;TeleVenda;Mindscape;121;8868,34;13329;1,36;9.5
23/11/2016;Porta a Porta;Ellipsis;936;27890,29;50266;1,36;9.5
23/11/2016;TeleVenda;Arena;193;14668,9;29017;1,36;9.5
