Data Venda;Canal de Venda;Local de Venda;PAX;Monetário Vendido;RPK
06/11/2016;TeleVenda;Ellipsis;1401;44342,98;76503
06/11/2016;TeleVenda;Vast;2179;58268,05;102935
06/11/2016;Porta a Porta;Vast;1544;32765,6;71257
06/11/2016;Telégrafo;Arena;147;8161,74;20813
06/11/2016;Telégrafo;Mindscape;76;4509,8;9915
06/11/2016;Telégrafo;Ellipsis;41;2275,63;2279
07/11/2016;Porta a Porta;Ellipsis;789;18990,19;40435
07/11/2016;Telégrafo;Ellipsis;45;2362,89;2497
07/11/2016;TeleVenda;Mindscape;1089;29280,85;126746
07/11/2016;TeleVenda;Ellipsis;98;6563,82;5989
07/11/2016;TeleVenda;Ellipsis;922;18649,58;50304
07/11/2016;TeleVenda;Arena;1575;53439,33;223780
07/11/2016;TeleVenda;Vast;123;7356,47;5534
07/11/2016;Telégrafo;Arena;111;6065,22;16174
07/11/2016;TeleVenda;Arena;127;9039,85;19729
07/11/2016;TeleVenda;Vast;1559;24081,23;69526
07/11/2016;Porta a Porta;Mindscape;985;29328,05;105345
07/11/2016;Porta a Porta;Vast;1909;29333,07;81306
07/11/2016;Telégrafo;Vast;77;2983,03;3480
07/11/2016;Telégrafo;Mindscape;71;4813,18;9316
07/11/2016;Porta a Porta;Arena;1084;42420,19;144695
07/11/2016;TeleVenda;Mindscape;55;3426,45;6527
08/11/2016;TeleVenda;Arena;116;8553,28;18264
08/11/2016;Porta a Porta;Arena;887;38652,4;119256
08/11/2016;Telégrafo;Vast;82;3999,99;3261
08/11/2016;Telégrafo;Mindscape;53;4153,55;6129
08/11/2016;TeleVenda;Ellipsis;78;4488,51;4756
08/11/2016;Porta a Porta;Ellipsis;950;21667,45;48504
08/11/2016;Telégrafo;Ellipsis;38;2770,9;2160
08/11/2016;Telégrafo;Arena;64;4243,91;9350
08/11/2016;TeleVenda;Vast;1434;22231,83;62666
08/11/2016;Porta a Porta;Mindscape;1118;31953,3;113157
08/11/2016;TeleVenda;Mindscape;45;2433,65;5716
08/11/2016;TeleVenda;Ellipsis;935;18316,17;50592
08/11/2016;TeleVenda;Vast;108;6365,22;4713
08/11/2016;Porta a Porta;Vast;1962;30148,74;82711
08/11/2016;TeleVenda;Arena;1047;35798,39;150298
08/11/2016;TeleVenda;Mindscape;959;23904,56;105206
09/11/2016;TeleVenda;Ellipsis;253;17132,76;15026
09/11/2016;TeleVenda;Arena;2360;97762,36;341223
09/11/2016;Telégrafo;Mindscape;86;6229,68;11035
09/11/2016;Telégrafo;Arena;160;9530,37;23887
09/11/2016;Porta a Porta;Arena;1342;64295,62;182970
09/11/2016;TeleVenda;Vast;2065;58459,13;96792
09/11/2016;Telégrafo;Vast;80;5029,36;3608
09/11/2016;TeleVenda;Arena;232;17080,01;36306
09/11/2016;Porta a Porta;Vast;1705;35602,08;76454
09/11/2016;Porta a Porta;Ellipsis;965;29259,19;52417
09/11/2016;Porta a Porta;Mindscape;1129;39473,14;121548
09/11/2016;Telégrafo;Ellipsis;58;3338,97;3277
09/11/2016;TeleVenda;Ellipsis;1455;43312,64;79195
09/11/2016;TeleVenda;Mindscape;1578;58909,83;185345
09/11/2016;TeleVenda;Mindscape;121;8672,94;14045
09/11/2016;TeleVenda;Vast;282;18923,29;13614
10/11/2016;TeleVenda;Ellipsis;1461;45530,98;81241
10/11/2016;TeleVenda;Arena;232;17700,73;36697
10/11/2016;Telégrafo;Mindscape;86;6299,63;10641
10/11/2016;Porta a Porta;Vast;1350;32550,35;64496
10/11/2016;TeleVenda;Arena;2338;95902,89;336268
10/11/2016;Porta a Porta;Mindscape;902;35025,66;100470
10/11/2016;TeleVenda;Mindscape;124;8177,83;15080
10/11/2016;TeleVenda;Mindscape;1532;60222,3;183632
10/11/2016;Porta a Porta;Arena;1216;60306,42;167000
10/11/2016;Telégrafo;Arena;158;9463,63;22413
10/11/2016;TeleVenda;Vast;2102;61561,53;100813
10/11/2016;Porta a Porta;Ellipsis;825;26496,27;44790
10/11/2016;Telégrafo;Vast;76;4410,61;3442
10/11/2016;TeleVenda;Ellipsis;249;16759,85;15273
10/11/2016;TeleVenda;Vast;308;20399,13;14875
10/11/2016;Telégrafo;Ellipsis;60;3440,22;3376
11/11/2016;TeleVenda;Mindscape;128;8144,11;15039
11/11/2016;TeleVenda;Vast;312;20493,03;15216
11/11/2016;TeleVenda;Ellipsis;1558;48157,46;83891
11/11/2016;TeleVenda;Arena;2441;101658,4;359217
11/11/2016;Porta a Porta;Arena;1268;61866,89;177659
11/11/2016;Telégrafo;Mindscape;69;5562,78;8670
11/11/2016;Telégrafo;Arena;136;8697,78;19344
11/11/2016;Porta a Porta;Ellipsis;855;26170,84;45167
11/11/2016;Porta a Porta;Vast;1428;35388,45;67349
11/11/2016;TeleVenda;Mindscape;1612;60747,87;191879
11/11/2016;TeleVenda;Ellipsis;265;16231,6;15308
11/11/2016;TeleVenda;Vast;2100;63299,93;101117
11/11/2016;Telégrafo;Ellipsis;71;5711,63;4089
11/11/2016;Telégrafo;Vast;72;3668,79;3526
11/11/2016;Porta a Porta;Mindscape;953;36067,77;109468
11/11/2016;TeleVenda;Arena;278;21455,08;44593
12/11/2016;TeleVenda;Mindscape;1606;60705,18;189865
12/11/2016;Telégrafo;Mindscape;73;7253,65;10161
12/11/2016;TeleVenda;Arena;256;19874,52;39827
12/11/2016;TeleVenda;Vast;1984;58856,03;93346
12/11/2016;Porta a Porta;Vast;1171;29927,49;54801
12/11/2016;Porta a Porta;Arena;1138;56961,83;160168
12/11/2016;TeleVenda;Arena;2172;91224,12;323533
12/11/2016;TeleVenda;Mindscape;99;6727,71;12270
12/11/2016;TeleVenda;Ellipsis;1567;46522,97;86302
12/11/2016;Telégrafo;Ellipsis;56;3469,97;3249
12/11/2016;Porta a Porta;Ellipsis;868;26484,68;46136
12/11/2016;Porta a Porta;Mindscape;950;34612,75;105103
12/11/2016;TeleVenda;Vast;298;19448,3;14679
12/11/2016;TeleVenda;Ellipsis;241;16723,82;15109
12/11/2016;Telégrafo;Vast;65;3042,85;3035
12/11/2016;Telégrafo;Arena;113;6197,04;16188
13/11/2016;Telégrafo;Ellipsis;54;3924,75;3498
13/11/2016;TeleVenda;Mindscape;1653;64793,51;206361
13/11/2016;Porta a Porta;Vast;1347;30538,21;63529
13/11/2016;Porta a Porta;Arena;1509;66077,63;223480
13/11/2016;TeleVenda;Mindscape;110;7931,77;14475
13/11/2016;TeleVenda;Arena;2478;100016,04;371331
13/11/2016;Telégrafo;Vast;49;1984,84;2328
13/11/2016;TeleVenda;Vast;299;20202,74;14597
13/11/2016;TeleVenda;Ellipsis;1555;47833,53;86378
13/11/2016;TeleVenda;Ellipsis;214;13826,94;12752
13/11/2016;Telégrafo;Arena;136;8609,24;20272
13/11/2016;Porta a Porta;Ellipsis;888;26417,38;49348
13/11/2016;TeleVenda;Arena;227;16827,48;34505
13/11/2016;Porta a Porta;Mindscape;1130;38127,72;139101
13/11/2016;TeleVenda;Vast;2008;61764,23;96652
13/11/2016;Telégrafo;Mindscape;55;3347,45;7531
14/11/2016;TeleVenda;Mindscape;60;3871,14;7664
14/11/2016;TeleVenda;Ellipsis;102;6172,88;6192
14/11/2016;Telégrafo;Vast;76;1805,59;3694
14/11/2016;Porta a Porta;Arena;4505;144890,73;668991
14/11/2016;TeleVenda;Vast;2112;31691,01;103877
14/11/2016;Porta a Porta;Vast;3186;48086,04;155810
14/11/2016;Telégrafo;Mindscape;89;3210,4;11895
14/11/2016;TeleVenda;Vast;117;6165,5;5501
14/11/2016;TeleVenda;Arena;3659;107719,14;548968
14/11/2016;Telégrafo;Arena;209;9267,3;33075
14/11/2016;TeleVenda;Mindscape;2702;61402,7;350317
14/11/2016;Porta a Porta;Mindscape;3961;94836,67;518526
14/11/2016;TeleVenda;Ellipsis;1586;29257,42;96889
14/11/2016;Porta a Porta;Ellipsis;2012;41089,21;120736
14/11/2016;TeleVenda;Arena;117;7909,88;18182
14/11/2016;Telégrafo;Ellipsis;58;2722,68;3416
15/11/2016;Porta a Porta;Vast;2828;43726;136985
15/11/2016;Porta a Porta;Arena;2741;92805,75;389144
15/11/2016;Telégrafo;Ellipsis;63;2322,85;3402
15/11/2016;TeleVenda;Mindscape;1191;29432,03;147303
15/11/2016;Porta a Porta;Mindscape;2827;69098,47;346400
15/11/2016;TeleVenda;Arena;93;5566,43;14138
15/11/2016;Telégrafo;Vast;76;2036,61;3764
15/11/2016;Telégrafo;Arena;115;5290,17;17150
15/11/2016;Porta a Porta;Ellipsis;1815;38472,51;105458
15/11/2016;TeleVenda;Vast;1217;20039,63;58465
15/11/2016;Telégrafo;Mindscape;79;4338,61;10307
15/11/2016;TeleVenda;Arena;1468;49035,01;212796
15/11/2016;TeleVenda;Ellipsis;85;4341,83;5521
15/11/2016;TeleVenda;Ellipsis;863;18608,27;50668
15/11/2016;TeleVenda;Mindscape;43;2454,22;5657
15/11/2016;TeleVenda;Vast;93;5162,1;4249
16/11/2016;TeleVenda;Arena;210;15947,97;32273
16/11/2016;Porta a Porta;Mindscape;1676;51153,07;195315
16/11/2016;TeleVenda;Arena;2155;86479;315391
16/11/2016;TeleVenda;Mindscape;121;7732,98;14286
16/11/2016;TeleVenda;Ellipsis;247;15280,57;14949
16/11/2016;TeleVenda;Vast;2165;60960,4;100796
16/11/2016;Porta a Porta;Ellipsis;1365;36204,49;75782
16/11/2016;Porta a Porta;Arena;1553;66170,58;216804
16/11/2016;Telégrafo;Ellipsis;56;3195,13;3163
16/11/2016;TeleVenda;Mindscape;1740;63266,99;209956
16/11/2016;Porta a Porta;Vast;1942;41025,52;90318
16/11/2016;Telégrafo;Mindscape;78;5181,5;10875
16/11/2016;TeleVenda;Vast;283;19049,41;13886
16/11/2016;TeleVenda;Ellipsis;1689;50018,86;92711
16/11/2016;Telégrafo;Vast;68;2970,48;3245
16/11/2016;Telégrafo;Arena;123;7525,22;17618
17/11/2016;TeleVenda;Vast;306;19390,84;15126
17/11/2016;TeleVenda;Ellipsis;226;13867,32;14221
17/11/2016;TeleVenda;Ellipsis;1438;45903,64;78140
17/11/2016;TeleVenda;Arena;220;16152,64;33687
17/11/2016;TeleVenda;Mindscape;1355;56693,57;160088
17/11/2016;Telégrafo;Mindscape;74;6215,41;10014
17/11/2016;Porta a Porta;Ellipsis;788;25625,77;42426
17/11/2016;TeleVenda;Vast;1746;57130,7;80399
17/11/2016;Telégrafo;Vast;78;3510,9;3633
17/11/2016;Porta a Porta;Mindscape;823;32150,7;92382
17/11/2016;Porta a Porta;Vast;1075;28089,08;48798
17/11/2016;TeleVenda;Arena;1829;80150,64;268017
17/11/2016;Telégrafo;Ellipsis;49;3712,02;2671
17/11/2016;TeleVenda;Mindscape;122;8420,57;14612
17/11/2016;Telégrafo;Arena;114;9036,99;16153
17/11/2016;Porta a Porta;Arena;984;50751,5;137470
18/11/2016;TeleVenda;Arena;1770;78447,14;260440
18/11/2016;TeleVenda;Ellipsis;247;14083,81;15029
18/11/2016;TeleVenda;Mindscape;139;9139,1;16391
18/11/2016;Porta a Porta;Vast;979;25471,94;43189
18/11/2016;Telégrafo;Vast;59;3092,17;2865
18/11/2016;Telégrafo;Arena;90;6831,58;12166
18/11/2016;Telégrafo;Ellipsis;38;1940,02;2197
18/11/2016;TeleVenda;Vast;1716;55305,95;79380
18/11/2016;TeleVenda;Mindscape;1361;57860,7;161418
18/11/2016;Porta a Porta;Arena;963;49016,94;137251
18/11/2016;TeleVenda;Arena;220;16797,46;34601
18/11/2016;Porta a Porta;Mindscape;767;30559,27;85154
18/11/2016;TeleVenda;Ellipsis;1467;46503,25;81115
18/11/2016;TeleVenda;Vast;309;21820,2;14705
18/11/2016;Porta a Porta;Ellipsis;804;25086,68;43226
18/11/2016;Telégrafo;Mindscape;77;6861,64;9220
19/11/2016;Porta a Porta;Arena;918;45321,43;128854
19/11/2016;Telégrafo;Vast;56;3387,8;2649
19/11/2016;Porta a Porta;Ellipsis;849;26639,99;46102
19/11/2016;TeleVenda;Mindscape;110;7259,51;13542
19/11/2016;TeleVenda;Arena;1746;76719,08;258997
19/11/2016;TeleVenda;Mindscape;1439;59515,32;172453
19/11/2016;TeleVenda;Arena;204;15872,49;30712
19/11/2016;Telégrafo;Ellipsis;51;3578,72;3081
19/11/2016;Telégrafo;Arena;110;7708,6;15693
19/11/2016;Telégrafo;Mindscape;77;6913,06;9546
19/11/2016;TeleVenda;Vast;291;18025,51;14107
19/11/2016;Porta a Porta;Mindscape;757;29434,24;83513
19/11/2016;TeleVenda;Ellipsis;1472;46202,77;81161
19/11/2016;TeleVenda;Vast;1742;57035,69;81947
19/11/2016;TeleVenda;Ellipsis;225;12442,76;13786
19/11/2016;Porta a Porta;Vast;914;23763,22;42290
20/11/2016;Porta a Porta;Vast;915;25295,25;43519
20/11/2016;TeleVenda;Mindscape;101;6827,17;11538
20/11/2016;Telégrafo;Ellipsis;41;2750,75;2189
20/11/2016;TeleVenda;Arena;197;15001,1;29998
20/11/2016;TeleVenda;Vast;1636;53139,73;78861
20/11/2016;Porta a Porta;Mindscape;662;27434,39;75355
20/11/2016;TeleVenda;Mindscape;1286;57059,16;153890
20/11/2016;Porta a Porta;Arena;794;39823,59;111929
20/11/2016;TeleVenda;Arena;1611;70031,23;236914
20/11/2016;Telégrafo;Vast;52;2414,3;2366
20/11/2016;TeleVenda;Vast;281;18297,55;13651
20/11/2016;Telégrafo;Arena;86;5160,31;12348
20/11/2016;TeleVenda;Ellipsis;1282;40976,18;70555
20/11/2016;TeleVenda;Ellipsis;222;13595,55;13814
20/11/2016;Porta a Porta;Ellipsis;686;22111,31;37225
20/11/2016;Telégrafo;Mindscape;59;5074,28;7892
21/11/2016;Porta a Porta;Mindscape;508;19312;57282
21/11/2016;Porta a Porta;Arena;814;35329,38;110426
21/11/2016;TeleVenda;Ellipsis;114;7355,46;7293
21/11/2016;TeleVenda;Vast;949;18460,14;47163
21/11/2016;TeleVenda;Mindscape;54;3655,49;6299
21/11/2016;TeleVenda;Arena;1271;44612,72;184403
21/11/2016;Porta a Porta;Ellipsis;625;14960,52;34546
21/11/2016;Porta a Porta;Vast;862;18788,05;43193
21/11/2016;TeleVenda;Arena;92;6208,87;13542
21/11/2016;Telégrafo;Ellipsis;31;1555,87;1733
21/11/2016;TeleVenda;Mindscape;781;22999,84;93451
21/11/2016;Telégrafo;Vast;57;3113,06;2670
21/11/2016;TeleVenda;Vast;128;7375,81;5723
21/11/2016;Telégrafo;Mindscape;42;3790,68;5338
21/11/2016;TeleVenda;Ellipsis;805;17001,36;45286
21/11/2016;Telégrafo;Arena;105;8687,4;14255
22/11/2016;TeleVenda;Arena;985;33999,93;138740
22/11/2016;Porta a Porta;Arena;809;36595,73;109069
22/11/2016;Telégrafo;Mindscape;30;2664,03;3524
22/11/2016;TeleVenda;Mindscape;670;18628,63;77040
22/11/2016;Porta a Porta;Mindscape;583;20979,06;66230
22/11/2016;Telégrafo;Vast;49;1592,06;2292
22/11/2016;Porta a Porta;Ellipsis;782;18741,54;41849
22/11/2016;TeleVenda;Arena;86;5609,69;12654
22/11/2016;TeleVenda;Ellipsis;812;16334,13;44330
22/11/2016;TeleVenda;Vast;102;5673,46;4669
22/11/2016;Porta a Porta;Vast;996;21297,24;47469
22/11/2016;Telégrafo;Arena;55;4871,79;8299
22/11/2016;Telégrafo;Ellipsis;36;1919,11;2026
22/11/2016;TeleVenda;Mindscape;45;2446,06;6153
22/11/2016;TeleVenda;Vast;1002;19296,58;48136
22/11/2016;TeleVenda;Ellipsis;87;4388,25;5537
23/11/2016;Telégrafo;Arena;100;7150,49;14436
23/11/2016;TeleVenda;Vast;1925;61856,49;89343
23/11/2016;TeleVenda;Ellipsis;1469;45838,71;81247
23/11/2016;TeleVenda;Arena;1764;79480,98;258234
23/11/2016;Telégrafo;Ellipsis;52;3004,1;3114
23/11/2016;Porta a Porta;Arena;899;46582,46;125382
23/11/2016;Porta a Porta;Vast;1151;30377,22;53576
23/11/2016;TeleVenda;Vast;289;19586,82;14311
23/11/2016;TeleVenda;Ellipsis;250;15553,13;14935
23/11/2016;TeleVenda;Mindscape;1465;61274,92;172953
23/11/2016;Telégrafo;Mindscape;67;5520,5;7975
23/11/2016;TeleVenda;Mindscape;121;8868,34;13329
23/11/2016;Porta a Porta;Ellipsis;936;27890,29;50266
23/11/2016;TeleVenda;Arena;193;14668,9;29017
23/11/2016;Porta a Porta;Mindscape;724;29110,9;81298
23/11/2016;Telégrafo;Vast;52;2197,88;2475
24/11/2016;Porta a Porta;Mindscape;733;31067,35;84740
24/11/2016;Porta a Porta;Arena;803;42232,5;114178
24/11/2016;TeleVenda;Ellipsis;247;14804,7;15757
24/11/2016;TeleVenda;Ellipsis;1481;43531,63;81592
24/11/2016;TeleVenda;Mindscape;1508;63652,66;178306
24/11/2016;Telégrafo;Arena;91;6471,55;12780
24/11/2016;Telégrafo;Vast;54;3157,81;2818
24/11/2016;Telégrafo;Mindscape;67;5188,02;8203
24/11/2016;Porta a Porta;Vast;983;26895,42;45721
24/11/2016;TeleVenda;Arena;1735;77362,28;257202
24/11/2016;TeleVenda;Vast;1917;62400,68;90324
24/11/2016;TeleVenda;Vast;291;19078,36;14445
24/11/2016;TeleVenda;Mindscape;132;9887,99;16186
24/11/2016;Telégrafo;Ellipsis;34;1845,84;1881
24/11/2016;Porta a Porta;Ellipsis;786;25069,95;43035
24/11/2016;TeleVenda;Arena;188;14979,44;29339
25/11/2016;TeleVenda;Mindscape;1351;52777,65;162440
25/11/2016;TeleVenda;Mindscape;130;9769,77;15440
25/11/2016;Telégrafo;Mindscape;69;5680,5;7986
25/11/2016;TeleVenda;Ellipsis;1246;33736,19;70488
25/11/2016;Telégrafo;Arena;102;7888,56;14114
25/11/2016;Porta a Porta;Mindscape;774;30417,24;87418
25/11/2016;Telégrafo;Ellipsis;52;2878,65;2951
25/11/2016;TeleVenda;Vast;265;16714,17;13224
25/11/2016;Telégrafo;Vast;46;1824,66;2154
25/11/2016;TeleVenda;Arena;174;13474,04;26539
25/11/2016;TeleVenda;Ellipsis;252;15416,2;15238
25/11/2016;TeleVenda;Arena;1691;70796,55;254160
25/11/2016;Porta a Porta;Vast;1016;24011,47;45839
25/11/2016;Porta a Porta;Ellipsis;767;22448,57;41688
25/11/2016;TeleVenda;Vast;1460;41126,5;69048
25/11/2016;Porta a Porta;Arena;970;47878,1;144350
26/11/2016;Porta a Porta;Arena;827;42740,28;120259
26/11/2016;Telégrafo;Ellipsis;51;2321,44;2916
26/11/2016;Porta a Porta;Ellipsis;751;23306,97;40795
26/11/2016;Telégrafo;Mindscape;81;8196,76;9524
26/11/2016;TeleVenda;Vast;253;16405,42;12429
26/11/2016;TeleVenda;Arena;1784;78317,57;265441
26/11/2016;TeleVenda;Ellipsis;230;13345,09;14332
26/11/2016;TeleVenda;Mindscape;1383;56004,97;164653
26/11/2016;TeleVenda;Mindscape;124;9221,68;15641
26/11/2016;TeleVenda;Ellipsis;1329;41207,93;74510
26/11/2016;Telégrafo;Arena;105;6151,45;14264
26/11/2016;TeleVenda;Arena;177;14185,86;26944
26/11/2016;Porta a Porta;Mindscape;817;31935,91;94535
26/11/2016;Telégrafo;Vast;54;2955,35;2560
26/11/2016;Porta a Porta;Vast;943;24456,34;42795
26/11/2016;TeleVenda;Vast;1631;54662,78;76149
27/11/2016;TeleVenda;Arena;182;13635,92;27441
27/11/2016;Porta a Porta;Vast;755;22377,78;34648
27/11/2016;TeleVenda;Mindscape;1503;65080,96;180306
27/11/2016;Telégrafo;Vast;50;2745,99;2257
27/11/2016;TeleVenda;Mindscape;106;7587,17;12855
27/11/2016;TeleVenda;Vast;1795;62136,63;83149
27/11/2016;TeleVenda;Ellipsis;1382;45715,59;77013
27/11/2016;Telégrafo;Ellipsis;48;2732,92;2756
27/11/2016;Telégrafo;Arena;120;8612,07;16894
27/11/2016;Telégrafo;Mindscape;88;8090,01;9079
27/11/2016;TeleVenda;Arena;1808;80897,47;270467
27/11/2016;TeleVenda;Vast;307;18865,83;14984
27/11/2016;TeleVenda;Ellipsis;241;15737,01;15201
27/11/2016;Porta a Porta;Arena;805;40929,33;114614
27/11/2016;Porta a Porta;Mindscape;727;29214,59;84703
27/11/2016;Porta a Porta;Ellipsis;635;19890,53;35725
28/11/2016;TeleVenda;Ellipsis;785;16929,07;44726
28/11/2016;TeleVenda;Mindscape;46;2677,74;5630
28/11/2016;TeleVenda;Ellipsis;137;7619,5;9189
28/11/2016;Telégrafo;Ellipsis;34;1801,86;2097
28/11/2016;Porta a Porta;Mindscape;623;21360,95;70122
28/11/2016;Porta a Porta;Vast;824;17142,13;40526
28/11/2016;Telégrafo;Mindscape;53;4200,83;6803
28/11/2016;TeleVenda;Arena;86;6212,14;13233
28/11/2016;TeleVenda;Vast;106;5547,61;5181
28/11/2016;TeleVenda;Arena;1140;40967,55;165998
28/11/2016;Telégrafo;Vast;58;2304,49;2529
28/11/2016;Porta a Porta;Ellipsis;607;15027,59;32750
28/11/2016;TeleVenda;Vast;963;18432,79;47527
28/11/2016;Porta a Porta;Arena;683;32223,55;95128
28/11/2016;Telégrafo;Arena;92;6482;13211
28/11/2016;TeleVenda;Mindscape;835;24403,07;100962
29/11/2016;Porta a Porta;Arena;760;35205,38;100477
29/11/2016;TeleVenda;Arena;83;4959,65;12109
29/11/2016;TeleVenda;Mindscape;63;3726,42;7983
29/11/2016;Telégrafo;Arena;76;5423,17;10173
29/11/2016;TeleVenda;Arena;983;32805,65;138489
29/11/2016;TeleVenda;Ellipsis;80;3939,38;4825
29/11/2016;Porta a Porta;Vast;1142;22002,23;53041
29/11/2016;TeleVenda;Ellipsis;805;15730,23;45078
29/11/2016;Telégrafo;Mindscape;35;1821,2;4247
29/11/2016;Porta a Porta;Mindscape;651;22117,62;71964
29/11/2016;TeleVenda;Vast;1034;18291,18;48213
29/11/2016;TeleVenda;Vast;89;4595,39;3996
29/11/2016;Telégrafo;Ellipsis;33;1612,58;1965
29/11/2016;TeleVenda;Mindscape;722;19203,16;84071
29/11/2016;Porta a Porta;Ellipsis;765;18468,78;41742
29/11/2016;Telégrafo;Vast;40;2032,9;1992
30/11/2016;TeleVenda;Mindscape;139;9314,32;16900
30/11/2016;Porta a Porta;Ellipsis;841;24637,82;45830
30/11/2016;TeleVenda;Mindscape;1458;60070,51;172118
